full,city,state,extraversion,neuroticism,agreeableness,conscientiousness,openness,pop,lat,long,extraversion_scaled,neuroticism_scaled,agreeableness_scaled,conscientiousness_scaled,openness_scaled,extraversion_percentile,neuroticism_percentile,agreeableness_percentile,conscientiousness_percentile,openness_percentile
Wichita KS,Wichita,Kansas,-0.03,-0,0.04,-0.02,-0.08,356051,37.69,-97.34,-0.19999999999999996,0.125,0.16279069767441867,-0.13043478260869568,-0.4871794871794872,0.17879948914431673,0.5108556832694764,0.6232439335887612,0.2515964240102171,0.06513409961685823
Raleigh NC,Raleigh,North Carolina,0.02,-0.07,0.02,-0.03,0.07,350822,35.82,-78.66,0.1333333333333333,-0.3125000000000001,0.06976744186046502,-0.21739130434782605,0.28205128205128194,0.6730523627075351,0.06385696040868455,0.46360153256704983,0.17879948914431673,0.8403575989782887
Santa Ana CA,Santa Ana,California,-0.01,-0.05,-0.03,-0.06,0.05,344086,33.74,-117.88,-0.06666666666666676,-0.1875,-0.16279069767441867,-0.4782608695652174,0.1794871794871793,0.367816091954023,0.13026819923371646,0.16219667943805874,0.04469987228607918,0.7586206896551724
Anaheim CA,Anaheim,California,-0.04,-0.04,0.01,-0.1,0.07,334909,33.84,-117.87,-0.2666666666666667,-0.1250000000000001,0.023255813953488413,-0.8260869565217392,0.28205128205128194,0.10983397190293742,0.19284802043422733,0.37420178799489145,0.005108556832694764,0.8403575989782887
Tampa FL,Tampa,Florida,0.05,-0.04,-0.01,0.03,0.06,328578,27.96,-82.48,0.3333333333333335,-0.1250000000000001,-0.06976744186046513,0.30434782608695654,0.23076923076923062,0.8837803320561941,0.19284802043422733,0.24521072796934865,0.776500638569604,0.7994891443167306
Pittsburgh PA,Pittsburgh,Pennsylvania,0,0.03,-0.1,0.02,0.01,316272,40.44,-79.98,0,0.3125,-0.4883720930232559,0.21739130434782616,-0.02564102564102566,0.48148148148148145,0.7305236270753512,0.038314176245210725,0.6743295019157088,0.5325670498084292
Riverside CA,Riverside,California,-0,-0.05,0.04,0.01,0.09,306351,33.94,-117.4,0,-0.1875,0.16279069767441867,0.1304347826086958,0.3846153846153846,0.48148148148148145,0.13026819923371646,0.6232439335887612,0.5593869731800766,0.8914431673052363
Toledo OH,Toledo,Ohio,0.02,-0.01,-0.04,0.03,0.05,305292,41.66,-83.58,0.1333333333333333,0.06249999999999978,-0.2093023255813954,0.30434782608695654,0.1794871794871793,0.6730523627075351,0.43167305236270753,0.140485312899106,0.776500638569604,0.7586206896551724
Aurora CO,Aurora,Colorado,-0,-0.02,0.03,0.01,0.02,304641,39.71,-104.73,0,0,0.11627906976744184,0.1304347826086958,0.02564102564102555,0.48148148148148145,0.3397190293742018,0.5389527458492975,0.5593869731800766,0.5951468710089399
Bakersfield CA,Bakersfield,California,-0.02,-0,0.03,0,-0.04,301775,35.36,-119,-0.1333333333333333,0.125,0.11627906976744184,0.04347826086956519,-0.28205128205128216,0.2656449553001277,0.5108556832694764,0.5389527458492975,0.46998722860791825,0.2260536398467433
Cincinnati OH,Cincinnati,Ohio,0.01,-0.01,0.02,0.07,0.06,301561,39.14,-84.51,0.06666666666666665,0.06249999999999978,0.06976744186046502,0.6521739130434785,0.23076923076923062,0.5632183908045977,0.43167305236270753,0.46360153256704983,0.9731800766283525,0.7994891443167306
Stockton CA,Stockton,California,-0.01,-0.01,0,0.02,0.02,299188,37.97,-121.31,-0.06666666666666676,0.06249999999999978,-0.023255813953488413,0.21739130434782616,0.02564102564102555,0.367816091954023,0.43167305236270753,0.3090676883780332,0.6743295019157088,0.5951468710089399
Newark NJ,Newark,New Jersey,0.14,-0.16,-0.21,0.03,0.09,281378,40.72,-74.17,0.9333333333333336,-0.8750000000000001,-1,0.30434782608695654,0.3846153846153846,0.9948914431673053,0.001277139208173691,0,0.776500638569604,0.8914431673052363
Corpus Christi TX,Corpus Christi,Texas,0.01,-0.08,-0,-0.04,0.05,280808,27.71,-97.29,0.06666666666666665,-0.3750000000000001,-0.023255813953488413,-0.30434782608695654,0.1794871794871793,0.5632183908045977,0.04342273307790549,0.3090676883780332,0.1111111111111111,0.7586206896551724
Buffalo NY,Buffalo,New York,-0.03,0.05,-0.11,-0.01,0.01,276762,42.89,-78.86,-0.19999999999999996,0.4374999999999998,-0.5348837209302326,-0.04347826086956519,-0.02564102564102566,0.17879948914431673,0.8326947637292464,0.0280970625798212,0.3397190293742018,0.5325670498084292
