full,city,state,extraversion,neuroticism,agreeableness,conscientiousness,openness,pop,lat,long
Port Arthur TX,Port Arthur,Texas,0.01,-0.08,0.02,0.03,-0.05,56728,29.9,-93.93
Saginaw MI,Saginaw,Michigan,-0.01,-0,-0.01,0.04,-0.02,56685,43.42,-83.95
Springfield OR,Springfield,Oregon,-0.05,0.01,0.06,-0.01,0,56575,44.05,-122.98
Terre Haute IN,Terre Haute,Indiana,-0.03,0.07,0.07,0.05,-0.05,56544,39.47,-87.38
Rosemead CA,Rosemead,California,-0.03,0.01,-0.01,-0.07,-0.01,56542,34.07,-118.08
Fountain Valley CA,Fountain Valley,California,0.03,-0.03,0.08,-0.09,-0.03,56318,33.71,-117.95
Galveston TX,Galveston,Texas,0.01,-0.07,-0.05,0.05,0.07,56205,29.3,-94.81
Blaine MN,Blaine,Minnesota,-0.01,-0.02,0.03,0.01,-0.04,56140,45.17,-93.21
Palo Alto CA,Palo Alto,California,-0,0.02,0.05,-0.05,0.18,56084,37.4,-122.14
Rocky Mount NC,Rocky Mount,North Carolina,0.04,0.02,0.02,-0.01,-0.04,56008,35.96,-77.81
Dearborn Heights MI,Dearborn Heights,Michigan,0.03,0.06,0.01,0.02,-0.02,55964,42.33,-83.27
Temple TX,Temple,Texas,-0.03,0.02,0.05,-0.04,-0.04,55916,31.1,-97.36
Great Falls MT,Great Falls,Montana,-0.02,0.06,0.03,0.02,-0.04,55908,47.5,-111.29
Port Orange FL,Port Orange,Florida,-0.01,0.05,-0.02,0,-0.05,55891,29.11,-81.01
Margate FL,Margate,Florida,0,-0,0.01,-0.02,0.07,55844,26.25,-80.21
Cheyenne WY,Cheyenne,Wyoming,-0.15,0.09,-0.03,0.04,-0.11,55833,41.15,-104.79
Elyria OH,Elyria,Ohio,-0.05,0.05,-0.01,0.01,-0,55811,41.38,-82.11
Bradenton FL,Bradenton,Florida,0.05,0.02,0.02,-0.05,-0.02,55606,27.49,-82.58
Petaluma CA,Petaluma,California,0.01,-0.01,-0.01,-0,0.05,55536,38.24,-122.63
Kettering OH,Kettering,Ohio,-0.02,0.02,0.05,-0.01,-0.07,55473,39.7,-84.15
Greenville SC,Greenville,South Carolina,0.05,-0.02,0.05,0.02,-0,55421,34.84,-82.37
Cathedral City CA,Cathedral City,California,-0.03,0.03,0.01,-0.01,-0.07,55253,33.83,-116.46
Chicopee MA,Chicopee,Massachusetts,-0.05,0.08,-0,-0.01,-0.09,55222,42.18,-72.57
San Rafael CA,San Rafael,California,-0.03,0.06,0.05,-0.01,0.07,55133,37.98,-122.51
Midwest City OK,Midwest City,Oklahoma,-0.03,0.09,-0.07,-0.03,0.02,55090,35.46,-97.37
Novi MI,Novi,Michigan,-0.02,-0.05,0.04,0.01,0.06,55079,42.48,-83.49
Malden MA,Malden,Massachusetts,-0.02,0.04,-0.06,-0.04,0.01,55066,42.43,-71.06
Decatur AL,Decatur,Alabama,0,0.03,0.02,0.01,-0.03,54717,34.57,-86.99
Euless TX,Euless,Texas,-0.01,-0.02,0.08,-0.03,0.02,54705,32.85,-97.08
Santa Cruz CA,Santa Cruz,California,0.03,-0.04,0.07,0.02,0.16,54583,36.97,-122.04
Owensboro KY,Owensboro,Kentucky,-0.05,0.07,0.06,0.03,-0.11,54513,37.76,-87.12
Lancaster PA,Lancaster,Pennsylvania,-0.02,0.05,0,-0,-0.03,54390,40.04,-76.3
Wheaton IL,Wheaton,Illinois,-0.01,-0.03,0.02,-0.05,0.06,54365,41.86,-88.11
Battle Creek MI,Battle Creek,Michigan,-0,0.03,0.04,-0.03,-0.05,54179,42.3,-85.23
Yuba City CA,Yuba City,California,-0.01,-0.05,0.12,0,-0.01,54086,39.14,-121.62
Fort Myers FL,Fort Myers,Florida,0.01,-0.07,-0.01,0.04,0.05,53961,26.63,-81.85
La Mesa CA,La Mesa,California,-0.01,-0.04,0.06,0.01,-0.02,53942,32.77,-117.02
Pensacola FL,Pensacola,Florida,0,-0.02,0.03,0.07,0.12,53652,30.44,-87.19
Cerritos CA,Cerritos,California,-0.04,-0.05,0.03,-0.02,0.06,53616,33.87,-118.07
Des Plaines IL,Des Plaines,Illinois,-0,-0,0.06,-0.03,-0.1,53601,42.03,-87.9
Medford MA,Medford,Massachusetts,0.02,0.09,-0.03,-0.01,-0.08,53579,42.42,-71.11
West Haven CT,West Haven,Connecticut,-0.01,0.06,-0.08,0.01,-0.03,53545,41.27,-72.97
Sarasota FL,Sarasota,Florida,0.08,-0.04,0.09,0.04,0.07,53422,27.34,-82.55
Conway AR,Conway,Arkansas,-0.03,0.03,0.04,-0,-0.04,53297,35.09,-92.45
Colton CA,Colton,California,0.05,-0.02,0.04,-0.04,0.03,53281,34.06,-117.32
Madera CA,Madera,California,0.02,-0.08,0.05,0.01,-0.04,53222,36.97,-120.08
Middletown OH,Middletown,Ohio,0.01,0.05,-0.01,0.02,-0.08,53027,39.51,-84.37
Pine Bluff AR,Pine Bluff,Arkansas,0.04,-0.02,0.01,0.07,0,52802,34.21,-92.02
Brentwood CA,Brentwood,California,0.04,-0.01,0.04,0.01,-0.01,52747,37.93,-121.71
Lakeville MN,Lakeville,Minnesota,0.03,-0.01,0.06,-0.04,-0.12,52745,44.68,-93.24
Highland CA,Highland,California,0.03,-0.05,0.11,0.03,0.01,52692,34.12,-117.19
Niagara Falls NY,Niagara Falls,New York,-0.01,0.12,-0.06,0.01,-0.02,52509,43.09,-79.02
Santee CA,Santee,California,0.03,0.06,0.06,0,-0.03,52505,32.86,-116.98
Rancho Santa Margarita CA,Rancho Santa Margarita,California,0.07,-0.08,0.09,-0.04,0.06,52447,33.64,-117.6
Idaho Falls ID,Idaho Falls,Idaho,-0.05,-0,0.1,0.02,-0.06,52431,43.49,-112.03
Yucaipa CA,Yucaipa,California,0.02,-0.05,0.1,0.05,-0.06,52333,34.03,-117.04
Woodland CA,Woodland,California,0.01,0.05,0,-0.04,-0.08,52266,38.68,-121.77
Cuyahoga Falls OH,Cuyahoga Falls,Ohio,-0.01,0.02,0.06,0.01,0,52223,41.17,-81.52
Woodbury MN,Woodbury,Minnesota,-0.03,0.02,0.07,-0.01,-0.08,52052,44.91,-92.92
Bowling Green KY,Bowling Green,Kentucky,0.03,-0.03,0.01,0.07,0.01,51999,36.97,-86.44
Lakewood OH,Lakewood,Ohio,-0.05,0.04,-0.03,0.01,-0.01,51999,41.48,-81.8
Glendora CA,Glendora,California,0.03,-0,0.04,0.01,0.02,51929,34.15,-117.84
Coconut Creek FL,Coconut Creek,Florida,0.02,0.01,-0.01,-0.04,0.07,51848,26.28,-80.18
Casper WY,Casper,Wyoming,-0,-0.04,-0,0.03,-0.03,51808,42.83,-106.33
Florissant MO,Florissant,Missouri,-0,-0.03,0.01,0.01,-0.07,51644,38.8,-90.32
Apple Valley MN,Apple Valley,Minnesota,-0.08,0.05,-0.05,-0.04,-0.18,51609,44.75,-93.2
Franklin TN,Franklin,Tennessee,0.03,-0,0.08,-0.03,-0.05,51478,35.93,-86.84
Tulare CA,Tulare,California,0.01,0.02,-0,0.01,0.01,51365,36.2,-119.34
Grapevine TX,Grapevine,Texas,0.05,-0.03,0.03,0.03,0.06,51334,32.93,-97.07
Shoreline WA,Shoreline,Washington,-0.02,0.03,0.07,-0.03,0,51316,47.75,-122.36
Monroe LA,Monroe,Louisiana,0.04,-0.14,0.1,0.09,0.08,51292,32.51,-92.08
Auburn AL,Auburn,Alabama,0.04,-0.04,0.05,0.05,0.02,51236,32.59,-85.48
Elkhart IN,Elkhart,Indiana,0.01,0.07,0.11,0.01,-0.07,51198,41.69,-85.97
Middletown CT,Middletown,Connecticut,-0.01,0.07,-0.05,-0.04,-0.01,51189,41.55,-72.65
New Brunswick NJ,New Brunswick,New Jersey,0.02,-0.01,-0.08,-0.03,0.12,51044,40.49,-74.45
Cupertino CA,Cupertino,California,-0.07,0.01,0.07,-0.09,-0.03,50952,37.31,-122.05
Corvallis OR,Corvallis,Oregon,-0.09,-0.08,0.06,0.03,-0.01,50932,44.57,-123.28
Berwyn IL,Berwyn,Illinois,0.01,0.02,0.02,-0.04,0.04,50904,41.84,-87.79
Palm Beach Gardens FL,Palm Beach Gardens,Florida,0.03,-0.03,0.05,-0.04,0.03,50768,26.84,-80.12
East Providence RI,East Providence,Rhode Island,-0.03,-0,0.04,0.01,-0.09,50750,41.8,-71.36
Peabody MA,Peabody,Massachusetts,-0.07,0.11,-0,-0.01,-0.03,50698,42.53,-70.97
La Mirada CA,La Mirada,California,0.01,-0.07,0.01,0.02,-0.04,50598,33.9,-118.01
Pocatello ID,Pocatello,Idaho,-0.08,0.02,0.06,0.04,0.12,50496,42.88,-112.47
Ocala FL,Ocala,Florida,-0.01,-0.02,0.07,0.03,-0,50241,29.19,-82.13
La Crosse WI,La Crosse,Wisconsin,-0.02,0.02,0.02,0.01,0,50147,43.83,-91.23
Palm Desert CA,Palm Desert,California,0.02,-0,0.03,0.02,-0,50126,33.73,-116.38
Blue Springs MO,Blue Springs,Missouri,-0.05,0.09,0.01,0.01,-0.03,50116,39.02,-94.27
Mansfield OH,Mansfield,Ohio,0.01,0.03,-0.03,0,-0.01,50010,40.76,-82.53
Poway CA,Poway,California,0.05,-0.01,0.03,0,0.02,49943,32.99,-117.02
Minnetonka MN,Minnetonka,Minnesota,0.06,-0.07,0.07,0.02,-0.02,49918,44.93,-93.46
Charleston WV,Charleston,West Virginia,-0.01,0.04,0.03,0.01,0.09,49804,38.35,-81.63
Goodyear AZ,Goodyear,Arizona,0,-0.05,0.03,0.02,-0.01,49748,33.35,-112.41
Placentia CA,Placentia,California,0.03,-0.04,0.05,0.01,0.01,49679,33.88,-117.85
Euclid OH,Euclid,Ohio,0.06,-0.04,0.02,-0,0.02,49602,41.59,-81.52
Mentor OH,Mentor,Ohio,-0.06,0.03,-0.01,-0.03,0,49597,41.69,-81.33
Bedford TX,Bedford,Texas,-0.02,0.05,0.01,-0,-0.01,49572,32.85,-97.13
Mishawaka IN,Mishawaka,Indiana,-0.07,0.1,0.01,0.01,-0.03,49534,41.67,-86.17
Perth Amboy NJ,Perth Amboy,New Jersey,0.03,-0.02,-0.01,0,-0.02,49448,40.52,-74.27
Carmel IN,Carmel,Indiana,0.01,-0.03,0.02,-0.01,-0.05,49188,39.97,-86.11
San Marcos TX,San Marcos,Texas,-0.04,0.01,0.07,-0.01,-0.01,49051,29.88,-97.93
Covina CA,Covina,California,0.01,-0.05,0.06,0.01,0.05,49039,34.09,-117.88
Novato CA,Novato,California,0.02,0.06,0.06,-0.04,0.09,49005,38.09,-122.56
Azusa CA,Azusa,California,-0.01,-0.03,-0.02,-0.02,0.04,48992,34.14,-117.91
Bellevue NE,Bellevue,Nebraska,-0.01,0.01,0.07,0.02,-0.06,48894,41.16,-95.92
Hanford CA,Hanford,California,0.01,0.03,0.08,-0.01,0.08,48892,36.33,-119.65
Moore OK,Moore,Oklahoma,-0.02,0.05,-0.01,0.03,-0.04,48749,35.33,-97.47
Hattiesburg MS,Hattiesburg,Mississippi,-0.01,-0.01,-0.04,0.03,-0.05,48728,31.31,-89.31
East Lansing MI,East Lansing,Michigan,-0.01,0.02,-0.04,-0.01,0.06,48618,42.74,-84.48
Perris CA,Perris,California,0,-0.02,0.05,0,-0,48555,33.79,-117.22
Meridian ID,Meridian,Idaho,-0.05,-0.01,0.06,0.03,-0.11,48376,43.61,-116.4
Grand Forks ND,Grand Forks,North Dakota,-0.02,0.08,0.05,-0.03,-0.09,48195,47.92,-97.07
Sheboygan WI,Sheboygan,Wisconsin,-0.03,-0.01,0.06,0.02,-0.06,48123,43.75,-87.73
Tigard OR,Tigard,Oregon,-0,0,0.07,-0.05,-0.01,48122,45.43,-122.77
Troy NY,Troy,New York,-0.01,0.1,-0.06,-0.05,-0.04,47993,42.73,-73.68
Huntington WV,Huntington,West Virginia,-0.03,0.09,0.06,-0,0.07,47905,38.41,-82.43
Plainfield NJ,Plainfield,New Jersey,0.05,-0.06,-0.09,-0.02,0.15,47769,40.62,-74.42
Redmond WA,Redmond,Washington,-0.04,-0.03,0.06,-0.01,-0.04,47662,47.67,-122.11
Harrisburg PA,Harrisburg,Pennsylvania,-0.05,0.07,-0.06,-0.02,0.01,47576,40.28,-76.88
New Braunfels TX,New Braunfels,Texas,-0.03,-0.11,0.03,-0.03,-0.06,47533,29.7,-98.12
Cypress CA,Cypress,California,0.03,-0.01,0.07,-0.07,0.02,47521,33.82,-118.04
Smyrna GA,Smyrna,Georgia,-0.01,0.01,0.02,0.01,0.03,47442,33.87,-84.52
Palm Springs CA,Palm Springs,California,0.01,-0.05,0.06,0.02,0.09,47434,33.78,-116.53
Kentwood MI,Kentwood,Michigan,0.03,0.03,0.03,0.02,-0.03,47421,42.88,-85.59
Burlington NC,Burlington,North Carolina,-0.02,0.02,0.05,-0,0.02,47290,36.08,-79.45
Chesterfield MO,Chesterfield,Missouri,-0,0.01,0.04,-0.03,-0.08,47202,38.65,-90.58
Wilson NC,Wilson,North Carolina,0.01,-0.04,0.03,-0.02,0.03,47191,35.73,-77.92
Roseville MI,Roseville,Michigan,-0.02,0.04,0.04,0.05,-0.02,47190,42.51,-82.94
Cleveland Heights OH,Cleveland Heights,Ohio,-0.04,0.02,-0.03,-0.01,-0,47123,41.51,-81.56
Biloxi MS,Biloxi,Mississippi,0.01,0.01,0.02,0.02,0.01,47110,30.41,-88.93
Joplin MO,Joplin,Missouri,-0.04,0.04,0.02,0.01,-0.09,47060,37.08,-94.5
Rogers AR,Rogers,Arkansas,0.04,-0.03,0.1,0.01,-0.01,46984,36.33,-94.13
Newark OH,Newark,Ohio,-0.04,0.04,0.02,0.04,-0.04,46870,40.07,-82.42
Cedar Hill TX,Cedar Hill,Texas,0.01,0,-0.02,-0,0.08,46869,32.58,-96.96
Sanford FL,Sanford,Florida,-0.06,-0.03,0.03,0.03,-0.02,46777,28.79,-81.28
Portage MI,Portage,Michigan,-0.04,0.02,0.07,-0.01,-0.09,46666,42.2,-85.59
Bell Gardens CA,Bell Gardens,California,-0.04,0.03,-0.03,-0.01,-0.06,46504,33.97,-118.15
Pinellas Park FL,Pinellas Park,Florida,-0,-0.03,0.02,-0,-0.04,46469,27.86,-82.71
Altoona PA,Altoona,Pennsylvania,-0.02,0.11,-0.01,-0.01,-0.1,46442,40.51,-78.4
Grand Junction CO,Grand Junction,Colorado,-0.04,0.01,0.03,0.04,-0.06,46350,39.09,-108.55
Woonsocket RI,Woonsocket,Rhode Island,-0.01,0.02,0.01,0.02,-0.02,46297,42,-71.5
San Ramon CA,San Ramon,California,0.06,-0.02,0.06,-0.04,-0.03,46278,37.76,-121.95
Revere MA,Revere,Massachusetts,0.02,0.06,-0.05,-0.02,-0.05,46259,42.42,-70.99
Richland WA,Richland,Washington,-0.04,-0.03,0.05,0.01,-0.03,46156,46.29,-119.29
Kokomo IN,Kokomo,Indiana,-0.04,0.11,0.03,-0.04,-0.12,46130,40.48,-86.13
Auburn WA,Auburn,Washington,0.06,-0.02,0.12,0.02,-0.07,46108,47.3,-122.21
Gilroy CA,Gilroy,California,-0,0.02,0.01,-0.02,-0,46107,37.01,-121.58
Enid OK,Enid,Oklahoma,0.01,0.03,0.07,0.03,-0.06,45935,36.41,-97.87
Delano CA,Delano,California,-0,-0.01,0.01,0,0.02,45933,35.76,-119.25
Kirkland WA,Kirkland,Washington,-0.06,-0.04,0.09,-0.03,0.01,45913,47.68,-122.19
Valdosta GA,Valdosta,Georgia,0.05,-0.11,0.05,0.08,-0.09,45909,30.85,-83.28
Broomfield CO,Broomfield,Colorado,-0.04,0.01,0.03,0.02,-0.09,45869,39.94,-105.06
Pasco WA,Pasco,Washington,-0.04,-0.01,0.07,0.03,-0,45774,46.25,-119.13
Salina KS,Salina,Kansas,0.02,-0.01,0.07,0.04,0.04,45715,38.82,-97.62
Porterville CA,Porterville,California,-0.04,0.05,-0.03,-0.03,-0.04,45703,36.06,-119.03
Manhattan KS,Manhattan,Kansas,-0.01,0.01,-0.01,-0.07,-0.07,45671,39.19,-96.59
Watsonville CA,Watsonville,California,0,-0.02,-0,-0,-0.01,45659,36.92,-121.77
Edina MN,Edina,Minnesota,0,-0.03,0.08,-0.02,-0.01,45648,44.89,-93.36
Albany OR,Albany,Oregon,-0.03,0,0.04,-0.02,-0.07,45535,44.62,-123.09
The Colony TX,The Colony,Texas,-0,0.05,-0.01,-0.01,-0,45532,33.09,-96.89
Elmhurst IL,Elmhurst,Illinois,0.01,0.02,-0,-0.02,0.04,45463,41.9,-87.94
Olympia WA,Olympia,Washington,0.05,-0.02,0.1,-0.01,0.05,45403,47.04,-122.89
Danville VA,Danville,Virginia,0.01,0.02,-0,0.01,-0.09,45382,36.58,-79.41
Hendersonville TN,Hendersonville,Tennessee,0.03,0.01,0.07,-0.01,-0.03,45358,36.29,-86.6
Bremerton WA,Bremerton,Washington,-0.06,0.02,0.08,-0.08,0.03,45306,47.55,-122.7
Logan UT,Logan,Utah,-0.07,0.02,0.17,0.01,-0.05,45262,41.74,-111.84
Wauwatosa WI,Wauwatosa,Wisconsin,0.01,-0.02,0.09,-0.01,-0.01,45076,43.06,-88.03
Strongsville OH,Strongsville,Ohio,-0,0.02,0.01,-0.01,-0.01,45073,41.31,-81.83
Binghamton NY,Binghamton,New York,-0.06,0.03,0,0.04,-0.02,45070,42.1,-75.91
Grand Island NE,Grand Island,Nebraska,-0.05,0.08,0.03,-0.01,-0.09,45052,40.92,-98.37
Alexandria LA,Alexandria,Louisiana,0.04,-0.01,0.01,0.03,-0.01,44933,31.29,-92.46
Warren OH,Warren,Ohio,-0.01,0.08,-0.04,-0.02,-0.05,44933,41.24,-80.82
Attleboro MA,Attleboro,Massachusetts,-0.01,0.02,-0,0.02,-0.1,44690,41.93,-71.3
Texas City TX,Texas City,Texas,0.02,-0.07,0.05,-0.01,-0.06,44321,29.41,-94.96
Farmington NM,Farmington,New Mexico,-0.03,0.02,0.05,0.03,-0.07,44278,36.75,-108.19
San Luis Obispo CA,San Luis Obispo,California,0.01,-0.08,0.05,0.01,-0.02,44098,35.27,-120.66
Lenexa KS,Lenexa,Kansas,0.01,-0.02,0.07,-0.01,-0.06,43935,38.96,-94.79
Hackensack NJ,Hackensack,New Jersey,0.05,-0.05,-0,-0.01,0.05,43923,40.89,-74.05
Bartlett TN,Bartlett,Tennessee,-0.04,0.01,0,-0,-0.11,43852,35.22,-89.84
Pittsfield MA,Pittsfield,Massachusetts,-0.06,0.12,-0.03,0.02,-0.03,43821,42.45,-73.26
Roswell NM,Roswell,New Mexico,-0.02,0.01,-0.01,0.03,-0.06,43788,33.37,-104.53
Kingsport TN,Kingsport,Tennessee,0.02,0.04,-0,0.01,-0.05,43776,36.53,-82.56
West Sacramento CA,West Sacramento,California,-0.03,0.06,-0.01,0.01,-0.01,43656,38.56,-121.55
Palm Coast FL,Palm Coast,Florida,0.03,-0.02,0.06,0.03,0.04,43487,29.57,-81.21
Stillwater OK,Stillwater,Oklahoma,-0.03,0.01,0.02,0.03,0.03,43473,36.13,-97.07
Lake Elsinore CA,Lake Elsinore,California,0.04,-0.01,0.08,-0.02,0.03,43336,33.67,-117.32
Fairfield OH,Fairfield,Ohio,-0.04,0.03,-0.01,-0.02,0.06,43279,39.33,-84.54
Titusville FL,Titusville,Florida,-0,-0.07,0.06,0.05,0.04,43054,28.59,-80.82
Newark CA,Newark,California,-0.03,-0.05,0.04,-0.03,0.01,43018,37.52,-122.03
Concord NH,Concord,New Hampshire,-0.04,0.08,0.01,-0.03,-0.07,42967,43.23,-71.56
Rancho Palos Verdes CA,Rancho Palos Verdes,California,0,-0.03,0.01,-0.01,-0.03,42966,33.76,-118.36
La Puente CA,La Puente,California,0.02,0.02,0.03,-0.05,0.05,42901,34.03,-117.95
Conroe TX,Conroe,Texas,-0.02,0.07,0.01,0.01,-0.04,42545,30.32,-95.47
Midland MI,Midland,Michigan,-0.06,-0.02,0.06,0.04,-0.03,42516,43.62,-84.23
Coral Gables FL,Coral Gables,Florida,0.04,-0.01,0.01,0.01,0.04,42495,25.7,-80.26
Leominster MA,Leominster,Massachusetts,-0.01,0.09,-0.05,-0,-0.02,42479,42.52,-71.77
Moline IL,Moline,Illinois,0.01,0.01,0.03,0.05,-0.07,42427,41.49,-90.49
Greenwood IN,Greenwood,Indiana,0.02,0.04,0.01,0.03,-0.02,42298,39.62,-86.11
Sierra Vista AZ,Sierra Vista,Arizona,-0.03,0.03,-0.04,-0.02,0.03,42088,31.57,-110.32
Haltom City TX,Haltom City,Texas,-0.01,0.01,0.03,-0.01,0.02,42053,32.82,-97.27
Harrisonburg VA,Harrisonburg,Virginia,-0.03,-0.04,0.08,0.04,-0.06,41992,38.44,-78.87
Aliso Viejo CA,Aliso Viejo,California,-0.04,-0.02,0.05,-0.02,-0.02,41975,33.57,-117.73
North Port FL,North Port,Florida,0.01,-0.02,0.06,0.01,-0.03,41919,27.05,-82.19
Covington KY,Covington,Kentucky,-0.01,0.05,-0.06,-0.03,-0.04,41896,39.04,-84.51
Crystal Lake IL,Crystal Lake,Illinois,0.02,0.06,0,0.03,-0.09,41874,42.23,-88.33
San Gabriel CA,San Gabriel,California,0.02,-0.02,0.03,-0.07,0.02,41861,34.09,-118.1
Bountiful UT,Bountiful,Utah,0.02,-0.01,0.1,0.05,0.01,41622,40.88,-111.87
Prescott AZ,Prescott,Arizona,-0.04,-0.04,0.06,-0.01,0.03,41432,34.58,-112.45
Georgetown TX,Georgetown,Texas,-0.02,0,0.04,-0.01,-0.03,41398,30.65,-97.69
Beavercreek OH,Beavercreek,Ohio,0.01,0.03,0.04,0,0,41297,39.73,-84.06
La Quinta CA,La Quinta,California,0.02,-0.03,0.05,0.03,0.06,41239,33.67,-116.29
Ceres CA,Ceres,California,-0.01,0.02,0.01,-0.02,-0.03,41223,37.6,-120.96
Rohnert Park CA,Rohnert Park,California,-0.02,0.01,0.01,-0.01,0.04,41154,38.35,-122.7
Westfield MA,Westfield,Massachusetts,-0.02,0.1,0.01,-0.03,0.01,41068,42.14,-72.76
Littleton CO,Littleton,Colorado,0,-0.02,0.13,0.02,-0.06,41063,39.59,-105.01
Hickory NC,Hickory,North Carolina,-0.03,0.05,0,0.01,-0.05,40968,35.74,-81.33
Lompoc CA,Lompoc,California,-0.01,0.01,0.02,-0.04,-0,40924,34.66,-120.47
Southaven MS,Southaven,Mississippi,-0.01,0.02,0.01,0.04,-0.05,40806,34.97,-90
Lincoln CA,Lincoln,California,0.04,0.01,0.09,-0.05,-0.08,40805,38.89,-121.3
Dublin CA,Dublin,California,0.04,0.05,0.02,-0.06,0.03,40791,37.72,-121.91
Belleville IL,Belleville,Illinois,0.01,0.02,0.04,0.03,-0.01,40745,38.53,-90
Altamonte Springs FL,Altamonte Springs,Florida,0.02,0.02,0.01,-0.02,0.03,40712,28.66,-81.4
Findlay OH,Findlay,Ohio,-0.07,0.01,-0,0.03,-0.04,40571,41.04,-83.64
Fitchburg MA,Fitchburg,Massachusetts,-0.04,0.08,-0.03,-0.05,-0.03,40565,42.59,-71.82
Atlantic City NJ,Atlantic City,New Jersey,0.06,-0.06,-0.09,-0.01,0.02,40529,39.38,-74.45
Coppell TX,Coppell,Texas,0.04,-0.04,0.04,-0.02,-0.04,40487,32.96,-96.99
Beverly MA,Beverly,Massachusetts,0.02,0.07,-0.02,-0.03,0.03,40441,42.56,-70.84
Hutchinson KS,Hutchinson,Kansas,-0.02,0.04,0.03,0.06,-0.01,40386,38.07,-97.91
Culver City CA,Culver City,California,0.01,-0.03,-0.03,-0.06,0.05,40361,34.01,-118.4
Brea CA,Brea,California,0.06,-0.09,0.06,0,0.01,40349,33.92,-117.87
Brookfield WI,Brookfield,Wisconsin,-0.03,-0.02,0.05,0.01,-0.09,40323,43.06,-88.12
Holyoke MA,Holyoke,Massachusetts,-0.01,0.07,-0.08,-0,-0.05,40143,42.21,-72.64
Muskegon MI,Muskegon,Michigan,0.01,-0.01,-0.01,0.01,-0.09,40058,43.23,-86.26
Edmonds WA,Edmonds,Washington,0.04,-0.02,0.08,-0.03,-0,40023,47.83,-122.37
Sumter SC,Sumter,South Carolina,-0.01,-0.02,-0.01,-0.01,0.01,40018,33.94,-80.39
Shelton CT,Shelton,Connecticut,0.01,-0,0,-0.01,-0.04,39988,41.3,-73.14
Hoboken NJ,Hoboken,New Jersey,-0,-0.01,-0.08,-0.04,-0.01,39972,40.74,-74.03
Linden NJ,Linden,New Jersey,-0.01,0.03,-0.02,-0.03,0.05,39964,40.63,-74.24
Keller TX,Keller,Texas,0.01,-0.04,0.09,-0.07,-0.04,39928,32.93,-97.23
Urbana IL,Urbana,Illinois,-0.01,0.05,-0,0,0.04,39834,40.11,-88.21
North Miami Beach FL,North Miami Beach,Florida,-0.02,0,-0.06,-0.03,0.05,39551,25.93,-80.17
Quincy IL,Quincy,Illinois,-0.08,0.1,0,-0.01,-0.08,39549,39.93,-91.39
Lima OH,Lima,Ohio,0.04,0,0.01,0.03,-0.09,39543,40.74,-84.11
San Bruno CA,San Bruno,California,0.03,-0.03,-0.01,-0.01,-0.03,39523,37.62,-122.43
Madison AL,Madison,Alabama,0,0.02,0.06,-0.01,-0.02,39516,34.7,-86.75
Columbus IN,Columbus,Indiana,-0.02,0.09,-0.02,0.01,-0.05,39453,39.21,-85.91
Twin Falls ID,Twin Falls,Idaho,0.04,-0.06,0.07,0.01,-0.06,39383,42.56,-114.46
Jefferson City MO,Jefferson City,Missouri,0.04,0.07,0.05,-0.01,-0.09,39062,38.57,-92.19
Annapolis MD,Annapolis,Maryland,0.02,0.01,-0.07,-0,-0.01,36300,38.98,-76.49
Dover DE,Dover,Delaware,0.01,-0.01,-0.06,-0.01,-0.08,34288,39.16,-75.53
Helena MT,Helena,Montana,-0.05,-0.06,0.11,0.03,-0,27383,46.6,-112.03
Frankfort KY,Frankfort,Kentucky,-0.04,0.12,-0.11,0.03,-0.07,27210,38.2,-84.86
"Washington, District Of Columbia",Washington,District Of Columbia,0.1,-0.18,-0.13,0.07,0.12,548359,38.91,-77.02
