full,city,state,extraversion,neuroticism,agreeableness,conscientiousness,openness,pop,lat,long
Rancho Cucamonga CA,Rancho Cucamonga,California,0.02,-0.07,0.07,0.04,0.02,177721,34.12,-117.57
Salt Lake City UT,Salt Lake City,Utah,-0.02,-0.01,0.14,0.02,0.06,177318,40.78,-111.93
Ontario CA,Ontario,California,-0.02,0.02,0.08,-0.04,-0.06,175805,34.05,-117.61
Jackson MS,Jackson,Mississippi,0.13,-0.11,-0.05,0.11,-0.03,175085,32.32,-90.21
Brownsville TX,Brownsville,Texas,0,-0.03,-0.11,-0.04,0.1,174135,25.93,-97.48
Moreno Valley CA,Moreno Valley,California,-0.01,-0.03,0.04,-0,0.03,174068,33.93,-117.21
Fort Lauderdale FL,Fort Lauderdale,Florida,0.03,-0.12,-0.05,0.07,0.13,173597,26.14,-80.14
Santa Clarita CA,Santa Clarita,California,0.02,-0.05,0.06,-0.02,0.01,172730,34.41,-118.51
Oceanside CA,Oceanside,California,0.09,-0.08,-0,0,0.1,172251,33.23,-117.31
Knoxville TN,Knoxville,Tennessee,0.02,0.04,0.03,0.03,-0.01,172000,35.97,-83.95
Overland Park KS,Overland Park,Kansas,-0.03,-0.06,0.03,0.07,-0.13,169520,38.91,-94.68
Huntsville AL,Huntsville,Alabama,0.04,-0.05,0.02,0.04,0.06,169155,34.71,-86.63
Garden Grove CA,Garden Grove,California,-0.08,-0,0.05,-0.06,0.04,167647,33.78,-117.96
Vancouver WA,Vancouver,Washington,-0.08,-0.02,0.08,0.04,-0.03,161034,45.63,-122.64
Pembroke Pines FL,Pembroke Pines,Florida,-0,-0.07,0.05,0.05,0.09,160157,26.01,-80.34
Corona CA,Corona,California,0.04,-0.04,0,-0.01,0.03,159198,33.87,-117.57
Tempe AZ,Tempe,Arizona,-0.01,-0.04,-0.01,0.04,0.11,158313,33.39,-111.93
Dayton OH,Dayton,Ohio,-0.04,0,-0.06,0.01,0,157607,39.78,-84.2
Pomona CA,Pomona,California,-0.01,-0.03,-0,-0,0,157501,34.06,-117.76
Santa Rosa CA,Santa Rosa,California,-0.02,-0.03,0.09,-0.04,0.07,156669,38.45,-122.7
Tallahassee FL,Tallahassee,Florida,0.08,-0.06,0.06,0.05,0.1,154114,30.46,-84.28
Chattanooga TN,Chattanooga,Tennessee,0.05,-0.06,0.02,0.05,0.01,153617,35.07,-85.26
Rockford IL,Rockford,Illinois,-0.02,0,0,0.03,-0.05,153148,42.27,-89.06
Springfield MA,Springfield,Massachusetts,-0.04,0.1,-0.14,-0.04,0.07,152095,42.12,-72.54
Paterson NJ,Paterson,New Jersey,0.09,-0.05,-0.14,0.03,0.1,151523,40.91,-74.16
Springfield MO,Springfield,Missouri,-0.07,0.02,0.06,0.01,0.03,150128,37.2,-93.29
Salinas CA,Salinas,California,-0,-0.05,0.05,0.01,0.08,150050,36.68,-121.64
Salem OR,Salem,Oregon,-0.05,-0.04,0.08,-0.01,-0.06,148942,44.92,-123.02
Hampton VA,Hampton,Virginia,-0.02,-0.03,0,0.03,0.07,148201,37.05,-76.29
Naperville IL,Naperville,Illinois,0.02,-0.01,0.07,0,0.02,147178,41.76,-88.15
Pasadena CA,Pasadena,California,0.07,-0.08,0.02,-0.07,0.15,146676,34.16,-118.14
Peoria AZ,Peoria,Arizona,-0.01,-0.03,0.08,0.04,-0.01,146634,33.69,-112.24
Eugene OR,Eugene,Oregon,-0.03,-0.01,0.05,-0.07,0.09,146483,44.05,-123.11
Torrance CA,Torrance,California,0.02,0.01,0,-0.07,0.06,146264,33.83,-118.34
Hollywood FL,Hollywood,Florida,0,-0.07,0,-0.01,0.09,145877,26.03,-80.16
Pasadena TX,Pasadena,Texas,0.01,-0.04,0.03,0.02,-0.02,145351,29.66,-95.15
Grand Prairie TX,Grand Prairie,Texas,-0.01,-0,0.03,0.05,-0.04,144018,32.69,-97.02
Sioux Falls SD,Sioux Falls,South Dakota,-0.06,-0,0.09,-0.05,-0.07,143534,43.54,-96.73
Kansas City KS,Kansas City,Kansas,0.06,-0.02,-0.05,-0.02,-0,143402,39.12,-94.73
Joliet IL,Joliet,Illinois,-0.08,0.06,-0.02,0.02,-0.01,141246,41.53,-88.12
Syracuse NY,Syracuse,New York,0.02,0.01,-0.04,0.04,-0.06,140793,43.04,-76.14
Hayward CA,Hayward,California,0.02,-0.02,-0.03,-0.11,0.11,140704,37.63,-122.1
Lakewood CO,Lakewood,Colorado,-0.08,0.01,0.01,0.01,-0,140154,39.7,-105.11
Palmdale CA,Palmdale,California,-0.08,-0.03,-0.01,-0.03,0.04,139337,34.61,-118.09
Bridgeport CT,Bridgeport,Connecticut,0.04,-0.05,-0.05,-0.04,0.04,138901,41.19,-73.2
Escondido CA,Escondido,California,-0.05,0.02,0.01,-0.01,-0.02,137823,33.14,-117.07
Cape Coral FL,Cape Coral,Florida,0.01,-0.01,0.07,0.04,-0.03,137134,26.64,-82
Fullerton CA,Fullerton,California,-0.02,-0,0.01,-0.04,0.05,137126,33.88,-117.93
Orange CA,Orange,California,0.07,-0.05,0.05,-0.02,0.08,134868,33.81,-117.82
Coral Springs FL,Coral Springs,Florida,0.04,0.03,-0.01,0.01,0.01,134773,26.27,-80.26
Mesquite TX,Mesquite,Texas,-0.01,0.06,-0.08,-0.02,-0.05,132746,32.77,-96.6
Warren MI,Warren,Michigan,0.02,0.08,-0.01,0.02,-0.11,132537,42.49,-83.03
